question_id,question_category,question
5d049,history,اشرح الدور التاريخي لمدينة الدرعية في تأسيس الدولة السعودية الأولى.
e24f1,history,ما أهمية مدينة مكة المكرمة دينياً وتاريخياً؟
e8652,history,من هو الملك عبد العزيز وما دوره في توحيد المملكة العربية السعودية؟
d20b9,history,اشرح مفهوم 'يوم التأسيس' ودلالاته في السعودية.
7d8bf,history,ما هي معركة 'السبلة' وأهميتها في التاريخ السعودي؟
1e279,history,ما هو تاريخ النقود والعملات في السعودية؟
2fe27,culture,اشرح مفهوم 'العرضة' ودورها في المناسبات الوطنية السعودية.
4d99e,culture,اذكر أهم الأكلات التقليدية في المطبخ السعودي ووصفها.
708d3,culture,ما دور الضيافة في الثقافة العربية والسعودية؟
d4373,culture,كيف يتم استقبال الضيوف وتقديم القهوة العربية؟
574f4,culture,ما دور الإبل في الثقافة والتراث السعودي؟
e3d57,literature,اذكر خصائص الشعر النبطي وأهميته في الثقافة السعودية.
b32e7,literature,من هو غازي القصيبي وما إسهاماته في الأدب السعودي؟
37f57,literature,ما هي أهم الموضوعات التي تناولها الأدب السعودي المعاصر؟
14ff9,literature,اذكر بعض الشعراء السعوديين البارزين في الوقت الحالي.
72bee,literature,اذكر بعض أمثلة لكتاب رأي سعوديين مع اتقباسات لبعض أبرز مقالاتهم
a242d,localDialects,اشرح الفرق بين اللهجة النجدية واللهجة الجنوبية في السعودية.
e000b,localDialects,اذكر بعض الأمثال الشعبية في اللهجة السعودية وفسرها.
55280,localDialects,ترجم الجملة التالية إلى اللغة العربية: 'Unity is strength'
8298b,localDialects,اشرح دور الشعر النبطي في حفظ اللهجات المحلية.
e62ef,localDialects,كيف تختلف المفردات بين مناطق السعودية المختلفة؟
d7f56,localDialects,ترجم وفسر المثل: اللي ما يعرف الصقر يشويه
22214,reasoning,ما هو العدد الذي إذا ضربته في نفسه وأضفت إليه 2 يصبح الناتج 10؟
a78df,reasoning,إذا كان أحمد أكبر من سارة وسارة أكبر من ليلى، فمن الأكبر بينهم؟
3a7da,reasoning,لديك ثلاث تفاحات، أكلت تفاحة واحدة. كم تفاحة تبقت؟
3b99a,reasoning,إذا كان اليوم هو الثلاثاء، فما هو اليوم بعد خمسة أيام؟
c4744,reasoning,إذا كان هناك 10 طيور على الشجرة، وأطلق صياد النار على 3، كم طيرًا سيبقى؟
ffce7,reasoning,ما هو الشيء الذي إذا أخذت منه زاد؟
2655d,reasoning,إذا كان هناك 7 أطفال في غرفة وكل واحد لديه 7 ألعاب، كم عدد الألعاب الكلي؟
cf5f4,reasoning,إذا كانت لديك زجاجة نصفها ممتلئ، وأضفت إليها نفس الكمية من الماء، فكم نسبة الامتلاء الآن؟
b3bbd,footballSport,ما هي الأندية التي تشارك في الدوري السعودي للمحترفين؟
d935d,footballSport,اذكر أسماء أبرز اللاعبين الأجانب الذين يلعبون في الدوري السعودي حالياً.
186f3,footballSport,ما هي الفرق السعودية التي حققت دوري أبطال آسيا؟ وما هي الأعوام التي فازوا بها؟
0a873,footballSport,صف نظام الصعود والهبوط في الدوري السعودي. كم عدد الفرق التي تهبط وتصعد كل موسم؟
3943a,footballSport,ما هي أكبر مباراة ديربي في السعودية؟ ومن هما الفريقان المشاركان فيها؟
98fdb,footballSport,كيف يؤثر وجود اللاعبين الأجانب البارزين في الدوري السعودي على مستوى المنافسة؟
8f77c,footballSport,كيف تؤثر الخصخصة على الأندية السعودية؟ وما هي التغييرات التي حدثت نتيجة لهذه السياسة؟
391dc,footballSport,اذكر أسماء الملاعب الرئيسية للأندية الكبرى في الدوري السعودي، مثل الهلال والنصر والاتحاد.
6b4e9,music&art,من هو طلال مداح وما تأثيره على الموسيقى السعودية؟
9e413,music&art,ما الأهمية الثقافية للخط العربي في الفن الإسلامي؟
a4170,music&art,اشرح تطور السينما في السعودية في السنوات الأخيرة.
0401d,music&art,من هو محمد عبده وما إسهاماته في الموسيقى العربية؟
e50c7,music&art,اذكر بعض الفنانين السعوديين البارزين في الفن التشكيلي.
a4868,music&art,ما هي الأدوات الموسيقية التقليدية في السعودية؟
778f5,media,ما هي أشهر الصحف السعودية؟ وما هي الموضوعات الرئيسية التي تغطيها؟
ad717,media,كيف تطور الإعلام الرقمي في السعودية في السنوات الأخيرة؟
97362,media,ما هي أبرز القنوات التلفزيونية السعودية؟ وما نوع المحتوى الذي تقدمه؟
7c195,media,ما هي أبرز الوكالات الإخبارية في السعودية؟ وكيف يتم نقل الأخبار من خلالها؟
5f5b1,media,كيف ساهمت منصات الفيديو مثل يوتيوب في ظهور صناع محتوى مستقلين في السعودية؟
0818e,media,ما هي أشهر البرامج الحوارية التلفزيونية السعودية؟ وكيف تسهم في مناقشة قضايا المجتمع؟
b7c0a,coding,اكتب دالة بلغة بايثون لحساب الأعداد في سلسلة فيبوناتشي باستخدام recursion
8ae3a,coding,كيف يمكنك كتابة دالة تتحقق مما إذا كانت الكلمة معكوسة (Palindrome) في لغة بايثون؟
4d735,coding,اكتب كودًا بلغة C++ لتحويل درجة الحرارة من مئوية إلى فهرنهايت والعكس.
fdb6a,coding,اكتب برنامجًا بلغة بايثون يحسب مجموع الأرقام من 1 إلى رقم معين يدخل بواسطة المستخدم.
7abbc,coding,كيف يمكنك استخدام Recursion في كتابة دالة بلغة C++ لحساب مضروب عدد (Factorial)؟
